
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:56334        127.0.0.1:56335        ESTABLISHED     21548
  TCP    127.0.0.1:56335        127.0.0.1:56334        ESTABLISHED     21548
  TCP    127.0.0.1:56336        127.0.0.1:27000        ESTABLISHED     21548
  TCP    127.0.0.1:56377        0.0.0.0:0              LISTENING       8940
  TCP    127.0.0.1:56589        127.0.0.1:9222         ESTABLISHED     11044
  TCP    127.0.0.1:56629        127.0.0.1:9222         ESTABLISHED     11044
  TCP    127.0.0.1:58169        127.0.0.1:59781        ESTABLISHED     27672
  TCP    127.0.0.1:58170        127.0.0.1:59781        ESTABLISHED     27672
  TCP    127.0.0.1:58171        127.0.0.1:59781        ESTABLISHED     27672
  TCP    127.0.0.1:58211        127.0.0.1:5611         ESTABLISHED     9136
  TCP    127.0.0.1:58499        0.0.0.0:0              LISTENING       17088
  TCP    127.0.0.1:58536        127.0.0.1:54625        ESTABLISHED     22108
  TCP    127.0.0.1:59454        127.0.0.1:9222         ESTABLISHED     25900
  TCP    127.0.0.1:59457        127.0.0.1:9222         ESTABLISHED     11044
  TCP    127.0.0.1:59781        0.0.0.0:0              LISTENING       8444
  TCP    127.0.0.1:59781        127.0.0.1:58169        ESTABLISHED     8444
  TCP    127.0.0.1:59781        127.0.0.1:58170        ESTABLISHED     8444
  TCP    127.0.0.1:59781        127.0.0.1:58171        ESTABLISHED     8444
  TCP    127.0.0.1:59781        127.0.0.1:59037        TIME_WAIT       0
  TCP    127.0.0.1:59781        127.0.0.1:59792        ESTABLISHED     8444
  TCP    127.0.0.1:59781        127.0.0.1:59793        ESTABLISHED     8444
  TCP    127.0.0.1:59781        127.0.0.1:60482        ESTABLISHED     8444
  TCP    127.0.0.1:59782        0.0.0.0:0              LISTENING       27672
  TCP    127.0.0.1:59782        127.0.0.1:52108        ESTABLISHED     27672
  TCP    127.0.0.1:59782        127.0.0.1:60469        ESTABLISHED     27672
  TCP    127.0.0.1:59783        0.0.0.0:0              LISTENING       27672
  TCP    127.0.0.1:59783        127.0.0.1:55684        TIME_WAIT       0
  TCP    127.0.0.1:59783        127.0.0.1:55690        TIME_WAIT       0
  TCP    127.0.0.1:59783        127.0.0.1:55764        TIME_WAIT       0
  TCP    127.0.0.1:59783        127.0.0.1:55769        TIME_WAIT       0
  TCP    127.0.0.1:59791        0.0.0.0:0              LISTENING       27672
  TCP    127.0.0.1:59791        127.0.0.1:60467        ESTABLISHED     27672
  TCP    127.0.0.1:59792        127.0.0.1:59781        ESTABLISHED     27672
  TCP    127.0.0.1:59793        127.0.0.1:59781        ESTABLISHED     27672
  TCP    127.0.0.1:60467        127.0.0.1:59791        ESTABLISHED     8444
  TCP    127.0.0.1:60469        127.0.0.1:59782        ESTABLISHED     8444
  TCP    127.0.0.1:60482        127.0.0.1:59781        ESTABLISHED     27672
  TCP    127.0.0.1:60490        0.0.0.0:0              LISTENING       8444
  TCP    127.0.0.1:60490        127.0.0.1:60491        ESTABLISHED     8444
  TCP    127.0.0.1:60491        127.0.0.1:60490        ESTABLISHED     27672
  TCP    127.0.0.1:60550        127.0.0.1:9222         ESTABLISHED     26060
  TCP    127.0.0.1:60555        127.0.0.1:9222         ESTABLISHED     27672
  TCP    127.0.0.1:63042        127.0.0.1:9222         ESTABLISHED     11044
  TCP    127.0.0.1:64475        127.0.0.1:54631        ESTABLISHED     8940
  TCP    127.0.0.1:64476        127.0.0.1:54625        ESTABLISHED     8940
  TCP    127.0.0.1:64488        0.0.0.0:0              LISTENING       8940
  TCP    127.0.0.1:64488        127.0.0.1:64489        ESTABLISHED     8940
  TCP    127.0.0.1:64489        127.0.0.1:64488        ESTABLISHED     11044
  TCP    192.168.29.20:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.29.20:49322    13.89.179.10:443       ESTABLISHED     17488
  TCP    192.168.29.20:53736    51.116.253.169:443     ESTABLISHED     10648
  TCP    192.168.29.20:55632    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:55651    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:55689    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:55691    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:55704    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:55710    13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.29.20:55711    13.89.179.10:443       ESTABLISHED     17488
  TCP    192.168.29.20:55714    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:55723    104.18.35.243:443      ESTABLISHED     2496
  TCP    192.168.29.20:55729    13.234.0.38:443        ESTABLISHED     2496
  TCP    192.168.29.20:55730    162.247.241.14:443     ESTABLISHED     2496
  TCP    192.168.29.20:55731    141.193.213.21:443     ESTABLISHED     2496
  TCP    192.168.29.20:55732    54.197.125.254:443     TIME_WAIT       0
  TCP    192.168.29.20:55733    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:55743    162.247.241.14:443     ESTABLISHED     2496
